Symptom Category,Common Symptoms,Possible Causes,Recommended Actions,How to detect
XGST_Taxation,Exempted transactions are not populating in GSTR-1 HSN Summary Section,"In GST_EXEMPTED_TRANSACTIONS check whether the GET_HSN_SAC Column is having the HSN/SAC code. While processing the exempted transactions HSN/SAC code needs to be provided only then the same will get posted to the database and will be correctly reported in the HSN summary section of GSTR-1.
Also two parameters is not Y in TBMS_INIT_PARAMETERS table.GSTR1_HSN_SUMMARY_INCL_TAXABLE_VALUE_EXMPT_YNGSTR1_HSN_SUMMARY_INCL_EXMPT_NIL_NGST_YN
","Ensure the system parameters are set as Y and restart PC to take effect.
Also check GST_EXEMPTED_TRANSACTIONS .
Make them populate in GSTR-1 HSN Summary section backout the transaction and reprocess with HSN code and regenerate the GSTR-1
",Verify the summary section
XGST_Taxation,IRN and QR code not getting updated in transactions,"Check for GES_STATUS IN GST_EINVOICE_STNG table 
Check IRN_SERVICE is up and running","Check the tables GSTR_SERVICE_LOG and GSTR_SERVICE_LOCK whether any entry is available for the state code and return period for which return is being generated
If there is any entry in the table GSTR_SERVICE_LOG table with status IP then chnage the status to P and clear the entry from GSTR_SERVICE_LOCK table
",
XGST_Taxation,GSTIN Maintenance Issue - Memory refresh not happened for all nodes,"Working for Single GSTIN but not working for bulk file.
Issue in GSTR service while bulk API call.
","Service restart for the node to reiniate
After restart file was processed with 361140 No response- To raise the issue with cygnet.
Proceed to generate the file in offline mode.
",Verify if file generated
XGST_Taxation,Exempt File upload error,GSTIN is not created or not provided the GSTIN while processing the transaction,check whether the GSTIN number provided in the exempt file is available in GSTIN master table GST_CUSTOMER_GSTIN. If it is available please check the from date in the table and compare with the transaction date in exempt file. Also confirm there are no typo errors in the GSTIN number provided in the input.,Check the transactions and verify GSTIN is provided.
XGST_Taxation,Bulk invoice slowness in centralized invoice,"Need to check the index, To check during running select query it is referring correct index or not","Verify the index part, AWR report, query plan",Need to check the index it is mapped to correct index or not
XGST_Taxation,Bulk Invoice generation ,Bulk invoices are unable to generate  in UI,"In Batch report service configuration file ,change BULK_UPLOAD_PARALLEL_PROCESSING  flag from 'N' to' Y' and restart the Process container",
XGST_Taxation,Invoice not received via auto scheduler,"invoicing date need to check, transaction available particular date range and customer daya",Customer data and transaction should be available,"Verify logs, status of gstcs_inv_request table"
XVAT_VATReturns,UAE : Annual Washup Adjustment values not populating in returns even after the execution of Washup Switches,"Ensure washup switches 360087 AND 360088 are exwcuted 
Verify whether Washup has been completed successfully and  entries have been posted in required tables:","

There will be no entry in VAT_WASHUP_FILING_SCHEDULE for the required preiod due to which the value is not populated in returns. 
Insert an entry manually  with required details to VAT_WASHUP_FILING_SCHEDULE and then proceed with the washup execution again.
. Insert Into VAT_WASHUP_FILING_SCHEDULE with status as null and then run the washup switches
2. Once washup is completed generate returns, vwfs_status will be updates as T , if its Considered in returns
3. Once return is marked final then vwfs_status will be updated as A.",Verify if washup is completed
XVAT_VATReturns,Online VAT Inquiry Error Report - Validation Error,"Check data is available in the GST_TAX_DETAILS  tables for the given condition GTD_STATUS 0 and GTD_REQUEST_TYPE E

Check the logs for any DB Connectivity Issues:
./logs/ASYNC_REPORT_SERVICE.log",Check GST_TAX_DETAILS and DB connectivity issues,Verify Report
XVAT_VATReturns,Missing Transactions in Core while invoking VAT Accounting API  ,"Identify the status of transactions by checking GTD_EXTRACTED_YN flag in GST_TAX_DETAILS table
Eligible transactions not available in VAT_ACCOUNTING_API_REQUEST table if GTD_EXTRACTED_YN flag is NULL",Invoke VAT_ACCOUNTING_API in reprocessing mode ,Verify the transactions 
Online,Invoice approval API in DD_REQUEST - performance issue. Api taking 30-40 secs to return the response,"Haproxy routing might be wrong.
If Jboss and 2.7 container is in different server, the communication between those two servers might be making delay.
Index and where condition columns used might not be correct.","Install the 2.7 container and Jboss in same machine was recommended, This will reduce the lag between server to server. Configure the haproxy to route the APIs which are using UI port to Jboss server. ",Check whether the haproxy is routing the API call to correct port and container. Check the index and where condition used in the internal query. High volume of data in DD_REQUEST
Online,"Online redemption is taking more time than usual and which results in timeout in the client server.	","Check if any query takes more time.	","Do proper indexing in the respective tables to increase the performance.	","Get the AWR,ASH,ADDM reports to check for any long running queries.
					"
Products and Services,changing the STD product level pricing will automatically update all the child products,"If we are adding new service / new charge code to STD product then this will be inherited to all the child products.
But if we are closing the current rate variation and adding new rate variation, this change will not be inherited to all the child products.",Clsoe the current rate and add new rate variation,Verify the product pricing and rate variations
Miscellaneous,"DB installation error, with oracle error SP2-0306: Invalid option Usage: 
CONN[ECT] [{logon|/|proxy) [AS {SYSDBA|SYSOPER| SYSASM|SYSBACKUP|SYSDG SYSKM}] [edition
SP2-0640: Not connected ",Network issue of Database.,Verify the network connection are strong,Verify any issue in network connection 
UI level Issues,Unable to add charge code in service edit screen,nonEditable field in the service.xml will be having value as U,"change the nonEditable=""U"" to nonEditable="""" 



",Use the internal global compare tool and extract the profiles to check whether the fields are disabled
Kafka,Getting duplicates in the account cycle date table,If kafka has multiple partition and the solution switch batch is >1 then there could be possibility that two thread processing same account from different partition of kafka.,Change the kafka partition key as account id based key,Backtrack the Servermanager and tbms_pc logs to check how the threads fetching the data from each partitions
CDM,Account closure APIs time stamp issue,Check whether the 2.7 container is implemented with 12hrs logic or 24 hrs,Suggest client to use the 12hrs clock with mentioning AM and PM accordingly,Have a discussion with technical team to get the code details.
Invoice Functionality,Invoice generation might fail with subquery returning more than two rows error,"Check the cycle date tables, custacc_pers_freq_details and dd_process_defn tables have two entries with same cycle date",Need to redesign the invoice generation view to handle duplicates in dd_process_defn,Verify the tables associated with the view for a particular account throwing the error
